"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6e71","2022","35015","GRID_250","250mN096575E195000","ES704","ES704A0","ES704A03","35015","14","45.3571","45.4073","7","7","100","10","4","28.5714","","10","","","","","","71.4286","","","","","","","","","6.25","224","64","","","","","","","7","3","4","50","21.4286","28.5714","MULTIPOLYGON (((28.34183759573949 -14.088147310699954, 28.344023678489084 -14.088765671798837, 28.34471845897204 -14.086331087248524, 28.34253235605967 -14.085712777337223, 28.34183759573949 -14.088147310699954)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6e91","2022","35015","GRID_250","250mN096650E194900","ES704","ES704A0","ES704A03","35015","22","39.5455","39.5054","11","11","100","","","","4","15","3","","","","18.1818","68.1818","13.6364","46.6667","20","26.6667","75","133.3333","","","6.25","352","","","","","","","","17","","","77.2727","","","MULTIPOLYGON (((28.345615821195306 -14.099740991924467, 28.347801769757215 -14.100359708791999, 28.348496885156486 -14.097925091005967, 28.346310916420954 -14.097306425320722, 28.345615821195306 -14.099740991924467)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6e9d","2022","35015","GRID_250","250mN096675E194800","ES704","ES704A0","ES704A03","35015","60","41.0833","41.101","32","28","87.5","60","0","0","5","47","8","","","","8.3333","78.3333","13.3333","27.6596","17.0213","10.6383","160","62.5","","","6.25","960","0","","","","","","","60","0","0","100","0","0","MULTIPOLYGON (((28.345020622159815 -14.11009787901188, 28.347206472165517 -14.110716850944929, 28.347901882143507 -14.108282302361618, 28.345716011956657 -14.107663381598712, 28.345020622159815 -14.11009787901188)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6e9e","2022","35015","GRID_250","250mN096675E194900","ES704","ES704A0","ES704A03","35015","73","41.1438","41.1403","34","39","114.7059","69","4","5.4795","9","56","8","","","","12.3288","76.7123","10.9589","30.3571","14.2857","16.0714","88.8889","112.5","","","6.25","1168","64","","","","","","","62","7","4","84.9315","9.589","5.4795","MULTIPOLYGON (((28.347801769757215 -14.100359708791999, 28.349987700478678 -14.10097847602114, 28.350682836053192 -14.098543807049406, 28.348496885156486 -14.097925091005967, 28.347801769757215 -14.100359708791999)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ea6","2022","35015","GRID_250","250mN096700E194800","ES704","ES704A0","ES704A03","35015","1107","36.724","36.7628","633","474","74.8815","669","438","39.5664","230","786","91","","","","20.7769","71.0027","8.2204","40.8397","11.5776","29.2621","39.5652","252.7473","","","6.25","17712","7008","","","","","","","502","114","491","45.3478","10.2981","44.3541","MULTIPOLYGON (((28.347206472165517 -14.110716850944929, 28.34939230432431 -14.11133587325784, 28.35008773448511 -14.108901273500969, 28.347901882143507 -14.108282302361618, 28.347206472165517 -14.110716850944929)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ea7","2022","35015","GRID_250","250mN096700E194825","ES704","ES704A0","ES704A03","35015","142","41.5211","41.492","66","76","115.1515","135","7","4.9296","22","97","23","","","","15.493","68.3099","16.1972","46.3918","23.7113","22.6804","104.5455","95.6522","","","6.25","2272","112","","","","","","","123","9","10","86.6197","6.338","7.0423","MULTIPOLYGON (((28.347901882143507 -14.108282302361618, 28.35008773448511 -14.108901273500969, 28.350783096045472 -14.106466643640731, 28.348597223522564 -14.105847723678826, 28.347901882143507 -14.108282302361618)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ea8","2022","35015","GRID_250","250mN096700E194875","ES704","ES704A0","ES704A03","35015","66","46.5909","46.5719","37","29","78.3784","61","5","7.5758","6","43","17","","","","9.0909","65.1515","25.7576","53.4884","39.5349","13.9535","283.3333","35.2941","","","6.25","1056","80","","","","","","","58","","","87.8788","","","MULTIPOLYGON (((28.349292496301388 -14.103413114898135, 28.351478389004125 -14.104031983678711, 28.352173613359803 -14.101597293616488, 28.349987700478678 -14.10097847602114, 28.349292496301388 -14.103413114898135)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ea9","2022","35015","GRID_250","250mN096700E194900","ES704","ES704A0","ES704A03","35015","20","38.5","38.4767","9","11","122.2222","20","0","0","5","11","4","","","","25","55","20","81.8182","36.3636","45.4545","80","125","","","6.25","320","0","","","","","","","18","","","90","","","MULTIPOLYGON (((28.349987700478678 -14.10097847602114, 28.352173613359803 -14.101597293616488, 28.35286876911119 -14.099162573455635, 28.350682836053192 -14.098543807049406, 28.349987700478678 -14.10097847602114)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6eb0","2022","35015","GRID_250","250mN096725E194800","ES704","ES704A0","ES704A03","35015","218","41.0321","41.0159","116","102","87.931","205","13","5.9633","29","159","30","","","","13.3028","72.9358","13.7615","37.1069","18.8679","18.239","103.4483","96.6667","","","6.25","3488","208","","","","","","","184","18","16","84.4037","8.2569","7.3394","MULTIPOLYGON (((28.34939230432431 -14.11133587325784, 28.35157811863624 -14.111954945955235, 28.352273568981474 -14.109520295021385, 28.35008773448511 -14.108901273500969, 28.34939230432431 -14.11133587325784)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6eb1","2022","35015","GRID_250","250mN096725E194825","ES704","ES704A0","ES704A03","35015","117","46.6795","46.6716","60","57","95","93","24","20.5128","11","81","25","","","","9.4017","69.2308","21.3675","44.4444","30.8642","13.5802","227.2727","44","","","6.25","1872","384","","","","","","","84","7","26","71.7949","5.9829","22.2222","MULTIPOLYGON (((28.35008773448511 -14.108901273500969, 28.352273568981474 -14.109520295021385, 28.352968950724794 -14.107085613980297, 28.350783096045472 -14.106466643640731, 28.35008773448511 -14.108901273500969)))"
