"geocode","etiqueta","granularidad","gcd_isla","gcd_municipio","superficie","utm_x","utm_y","longitud","latitud"
"250mN094325E191650","250mN094325E191650","GRID_250","ES704","35015","6.25","563177.39","3103238.64","-14.35714","28.052986"
"250mN094325E191675","250mN094325E191675","GRID_250","ES704","35015","6.25","563415.4","3103317.68","-14.354714","28.053688"
"250mN094325E191700","250mN094325E191700","GRID_250","ES704","35015","6.25","563653.41","3103396.71","-14.352288","28.05439"
"250mN094325E191725","250mN094325E191725","GRID_250","ES704","35015","6.25","563891.42","3103475.75","-14.349862","28.055092"
"250mN094325E191750","250mN094325E191750","GRID_250","ES704","35015","6.25","564129.43","3103554.78","-14.347436","28.055794"
"250mN094325E191775","250mN094325E191775","GRID_250","ES704","35015","6.25","564367.43","3103633.8","-14.34501","28.056496"
"250mN094325E191800","250mN094325E191800","GRID_250","ES704","35015","6.25","564605.44","3103712.83","-14.342584","28.057198"
"250mN094325E191825","250mN094325E191825","GRID_250","ES704","35015","6.25","564843.45","3103791.85","-14.340158","28.057899"
"250mN094325E191850","250mN094325E191850","GRID_250","ES704","35015","6.25","565081.46","3103870.87","-14.337732","28.058601"
"250mN094325E191875","250mN094325E191875","GRID_250","ES704","35015","6.25","565319.47","3103949.88","-14.335305","28.059303"
"250mN094325E191900","250mN094325E191900","GRID_250","ES704","35015","6.25","565557.47","3104028.9","-14.332879","28.060004"
"250mN094325E191925","250mN094325E191925","GRID_250","ES704","35015","6.25","565795.48","3104107.91","-14.330453","28.060706"
"250mN094325E191950","250mN094325E191950","GRID_250","ES704","35015","6.25","566033.49","3104186.92","-14.328026","28.061407"
"250mN094325E191975","250mN094325E191975","GRID_250","ES704","35015","6.25","566271.5","3104265.92","-14.3256","28.062108"
"250mN094325E192000","250mN094325E192000","GRID_250","ES704","35015","6.25","566509.51","3104344.92","-14.323174","28.062809"
"250mN094325E192025","250mN094325E192025","GRID_250","ES704","35015","6.25","566747.51","3104423.92","-14.320747","28.06351"
"250mN094325E192050","250mN094325E192050","GRID_250","ES704","35015","6.25","566985.52","3104502.92","-14.318321","28.064212"
"250mN094325E192075","250mN094325E192075","GRID_250","ES704","35015","6.25","567223.53","3104581.91","-14.315894","28.064913"
"250mN094325E192100","250mN094325E192100","GRID_250","ES704","35015","6.25","567461.54","3104660.91","-14.313468","28.065613"
"250mN094325E192125","250mN094325E192125","GRID_250","ES704","35015","6.25","567699.54","3104739.89","-14.311041","28.066314"
"250mN094325E192150","250mN094325E192150","GRID_250","ES704","35015","6.0793","567931.63","3104841.88","-14.308674","28.067223"
"250mN094325E192175","250mN094325E192175","GRID_250","ES704","35015","3.1991","568122.15","3104921.38","-14.30673","28.067931"
"250mN094325E192200","250mN094325E192200","GRID_250","ES704","35015","0.0437","568273.35","3105046.84","-14.305185","28.069056"
"250mN094350E191550","250mN094350E191550","GRID_250","ES704","35015","0.0351","562247.79","3103308.22","-14.366595","28.053658"
"250mN094350E191575","250mN094350E191575","GRID_250","ES704","35015","3.668","562419.62","3103274.05","-14.364849","28.053342"
"250mN094350E191600","250mN094350E191600","GRID_250","ES704","35015","6.2499","562639.1","3103322.28","-14.362613","28.053767"
